date,year,month,season,mei
2012-09-01,2012,9,AS,-0.29
2012-10-01,2012,10,SO,-0.19
2012-11-01,2012,11,ON,-0.03
2012-12-01,2012,12,ND,-0.03
2013-01-01,2013,1,DJ,-0.06
2013-02-01,2013,2,JF,-0.08
2013-03-01,2013,3,FM,-0.13
2013-04-01,2013,4,MA,-0.35
2013-05-01,2013,5,AM,-0.68
2013-06-01,2013,6,MJ,-1.14
2013-07-01,2013,7,JJ,-0.79
2013-08-01,2013,8,JA,-0.45
2013-09-01,2013,9,AS,-0.33
2013-10-01,2013,10,SO,-0.13
2013-11-01,2013,11,ON,-0.16
2013-12-01,2013,12,ND,-0.33
2014-01-01,2014,1,DJ,-0.5
2014-02-01,2014,2,JF,-0.42
2014-03-01,2014,3,FM,-0.05
2014-04-01,2014,4,MA,-0.17
2014-05-01,2014,5,AM,-0.17
2014-06-01,2014,6,MJ,0.0
2014-07-01,2014,7,JJ,0.41
2014-08-01,2014,8,JA,0.23
2014-09-01,2014,9,AS,-0.1
2014-10-01,2014,10,SO,0.11
2014-11-01,2014,11,ON,0.37
2014-12-01,2014,12,ND,0.35
2015-01-01,2015,1,DJ,0.23
2015-02-01,2015,2,JF,0.06
2015-03-01,2015,3,FM,0.15
2015-04-01,2015,4,MA,0.31
2015-05-01,2015,5,AM,0.95
2015-06-01,2015,6,MJ,1.9
2015-07-01,2015,7,JJ,1.79
2015-08-01,2015,8,JA,1.95
2015-09-01,2015,9,AS,2.24
2015-10-01,2015,10,SO,2.15
2015-11-01,2015,11,ON,1.93
2015-12-01,2015,12,ND,1.93
2016-01-01,2016,1,DJ,1.93
2016-02-01,2016,2,JF,1.8
2016-03-01,2016,3,FM,1.32
2016-04-01,2016,4,MA,1.32
2016-05-01,2016,5,AM,1.24
2016-06-01,2016,6,MJ,0.35
2016-07-01,2016,7,JJ,-0.54
2016-08-01,2016,8,JA,-0.26
2016-09-01,2016,9,AS,-0.29
2016-10-01,2016,10,SO,-0.53
2016-11-01,2016,11,ON,-0.47
2016-12-01,2016,12,ND,-0.37
2017-01-01,2017,1,DJ,-0.42
2017-02-01,2017,2,JF,-0.41
2017-03-01,2017,3,FM,-0.58
2017-04-01,2017,4,MA,-0.19
2017-05-01,2017,5,AM,0.2
2017-06-01,2017,6,MJ,-0.23
2017-07-01,2017,7,JJ,-0.63
2017-08-01,2017,8,JA,-0.72
2017-09-01,2017,9,AS,-0.73
2017-10-01,2017,10,SO,-0.59
2017-11-01,2017,11,ON,-0.62
2017-12-01,2017,12,ND,-0.74
2018-01-01,2018,1,DJ,-0.79
2018-02-01,2018,2,JF,-0.71
2018-03-01,2018,3,FM,-0.8
2018-04-01,2018,4,MA,-1.32
2018-05-01,2018,5,AM,-0.94
2018-06-01,2018,6,MJ,-0.51
2018-07-01,2018,7,JJ,-0.05
2018-08-01,2018,8,JA,0.47
2018-09-01,2018,9,AS,0.62
2018-10-01,2018,10,SO,0.52
2018-11-01,2018,11,ON,0.33
2018-12-01,2018,12,ND,0.18
2019-01-01,2019,1,DJ,0.09
2019-02-01,2019,2,JF,0.5
2019-03-01,2019,3,FM,0.76
2019-04-01,2019,4,MA,0.3
2019-05-01,2019,5,AM,0.23
2019-06-01,2019,6,MJ,0.35
2019-07-01,2019,7,JJ,0.3
2019-08-01,2019,8,JA,0.32
2019-09-01,2019,9,AS,0.16
2019-10-01,2019,10,SO,0.31
2019-11-01,2019,11,ON,0.47
2019-12-01,2019,12,ND,0.36
2020-01-01,2020,1,DJ,0.24
2020-02-01,2020,2,JF,0.26
2020-03-01,2020,3,FM,0.13
2020-04-01,2020,4,MA,-0.15
2020-05-01,2020,5,AM,-0.23
2020-06-01,2020,6,MJ,-0.68
2020-07-01,2020,7,JJ,-0.94
2020-08-01,2020,8,JA,-0.96
2020-09-01,2020,9,AS,-1.15
2020-10-01,2020,10,SO,-1.17
2020-11-01,2020,11,ON,-1.13
2020-12-01,2020,12,ND,-1.14
2021-01-01,2021,1,DJ,-1.2
2021-02-01,2021,2,JF,-0.96
2021-03-01,2021,3,FM,-0.79
2021-04-01,2021,4,MA,-0.95
2021-05-01,2021,5,AM,-1.07
2021-06-01,2021,6,MJ,-1.05
